num,imdb_id,number_of _posters,total_box_office,with_adjusted_box_office,total_label
64,tt0465234,52,457325804,521471257,9
65,tt1615160,46,140786848,140786848,7
66,tt6217804,9,47879572,47879572,2
67,tt6063050,7,17170707,17170707,0
68,tt6802308,14,56074973,56074973,2
69,tt6000478,14,12159418,12159418,0
70,tt4925292,41,70842163,70842163,3
71,tt5727282,26,2643893,2643893,0
72,tt6450186,8,55991331,56296022,2
73,tt7388562,5,12120264,12162400,0
74,tt5164432,15,33708320,33740832,1
75,tt6175394,2,30039595,30039595,1
76,tt0117008,16,9409732,9409732,0
77,tt5360952,19,12006417,12006417,0
78,tt6101820,4,25926199,25926199,1
79,tt0451279,139,817012815,817012815,9
80,tt1473832,50,203555567,204448592,9
81,tt0493405,23,23190697,23190701,1
82,tt1489889,45,217196811,221911390,9
83,tt1289401,76,229034050,233782274,9
84,tt1485796,52,414069900,414069900,9
85,tt0490215,48,16198028,16209509,0
86,tt3062096,69,219561188,220827186,9
87,tt1355644,91,302212434,304261176,9
88,tt1293847,102,345114933,345114933,9
89,tt1666185,14,54876855,54876855,2
90,tt1679335,50,344780046,350333995,9
91,tt2398241,66,197268034,197268038,9
92,tt1790809,162,794758876,794758876,9
93,tt2592614,76,307353906,307353906,9
94,tt2094766,74,240497948,241845099,9
95,tt1935859,64,296642834,299859302,9
96,tt3521164,99,639537208,647307686,9
97,tt2316204,90,238862031,238862031,9
98,tt2567026,115,277442381,280292498,9
99,tt4196776,61,416197059,422197254,9
100,tt3416828,80,403841637,406211597,9
101,tt0120616,42,410333326,410333326,9
102,tt3486626,46,57975035,57975035,2
103,tt2869728,28,124827316,128188704,6
104,tt3315342,106,615577068,615577068,9
105,tt1972591,80,140012608,140012609,7
106,tt3416532,53,46422066,46422066,2
107,tt3014284,48,122780244,122780244,6
108,tt1700841,53,141354394,144967625,7
109,tt4438848,51,108758521,110805806,5
110,tt4361050,33,81831866,83132005,4
111,tt3183660,102,803798342,812036054,9
112,tt3748528,143,1050988488,1066710569,9
113,tt3874544,68,510113033,510113033,9
114,tt3691740,64,199905224,201957797,9
115,tt3896198,167,863197744,863197744,9
116,tt3731562,89,561137727,561137730,9
117,tt3717490,85,142364450,142364450,7
118,tt4786282,43,148868835,151357394,7
119,tt3110958,97,328675540,331082952,9
120,tt4030600,27,25863405,25863405,1
121,tt1386697,143,746100054,758126874,9
122,tt2543472,48,295772199,295772199,9
123,tt1355631,33,18329653,18900725,0
124,tt4116284,69,310940997,310940998,9
125,tt4136084,33,56017691,57030725,2
126,tt1211837,119,677541920,686054566,9
127,tt2025690,45,49252761,50272674,2
128,tt3462710,25,15668012,15668013,0
129,tt2404435,58,162526238,165982249,8
130,tt4276820,49,18301228,18301418,0
131,tt2823054,31,75909673,77611762,3
132,tt4094724,43,118557124,121481234,5
133,tt4302938,49,77548564,79325140,3
134,tt2034800,90,334550106,334550106,9
135,tt3470600,101,634287740,640447185,9
136,tt2788732,72,137768975,140589161,6
137,tt1219827,102,167918847,167918847,8
138,tt0498381,53,82991460,82991460,4
139,tt2660888,131,336398312,342274774,9
140,tt2119532,64,158701644,161091712,7
141,tt2250912,107,880206511,880206511,9
142,tt4481514,26,31192743,31192743,1
143,tt2771200,143,1263109573,1263109573,9
144,tt3212232,25,309608,309608,0
145,tt2241351,52,93469699,94986906,4
146,tt1974419,64,3559803,3609117,0
147,tt4572514,41,52461361,52484618,2
148,tt4196450,26,16847879,17434665,0
149,tt1878870,21,18802255,19335219,0
150,tt4465564,76,381081967,381081967,9
151,tt4630562,78,1237466026,1237466026,9
152,tt4550098,53,31151819,31528603,1
153,tt4624424,76,174102281,176781211,8
154,tt2543164,80,203178872,206589418,9
155,tt3783958,78,13854,13854,0
156,tt4425200,76,171529184,171529184,8
157,tt4651520,52,181457297,185647161,9
158,tt2582782,36,37584304,38583437,1
159,tt0443533,9,93690,93690,0
160,tt4669186,5,23591043,24463773,1
161,tt4287320,45,40651864,40651864,2
162,tt3960412,11,9537120,9888417,0
163,tt2865120,25,11813410,12139452,0
164,tt4160708,43,159047649,162348193,7
165,tt4649416,9,42493506,44047359,2
166,tt3631112,61,170327930,173117110,8
167,tt4139124,22,20688141,21449920,1
168,tt3263904,48,238552082,243175485,9
169,tt4776998,18,10524093,10524093,0
170,tt2568862,40,78714211,78714211,3
171,tt4972582,54,278449984,278449984,9
172,tt4034354,22,5837111,5992867,0
173,tt1966359,26,20597799,20597799,1
174,tt4052882,51,118888025,120927198,5
175,tt2283362,76,944741979,944741979,9
176,tt4520364,20,7298786,7443626,0
177,tt4939066,14,49196532,49234362,2
178,tt1730768,32,24522140,24522140,1
179,tt3103166,2,182695,189446,0
180,tt3393786,58,160038407,162205320,8
181,tt4501244,38,117523786,118657058,5
182,tt4846340,54,231800856,231874359,9
183,tt3401882,33,40287017,40287017,2
184,tt5052448,51,255209057,255209057,9
185,tt4669986,17,12927162,13203968,0
186,tt2763304,35,42074024,42074025,2
187,tt1082807,20,10753399,10753399,0
188,tt1753383,42,205272612,205272612,9
189,tt4981636,15,23311425,24051572,1
190,tt3553442,23,24915969,25769914,1
191,tt3367294,2,7445044,7560751,0
192,tt4254584,7,150191,155746,0
193,tt5247022,24,10762654,10766380,0
194,tt4387040,7,9969237,9969237,0
195,tt0061210,1,552198479,552317945,9
196,tt3531824,47,61680792,63108156,3
197,tt5140878,62,305492201,305492201,9
198,tt4972062,5,4417983,4581419,0
199,tt2032572,21,1641255,1641255,0
200,tt5646136,4,13099931,13584545,0
201,tt4799050,70,46916048,46916048,2
202,tt1974420,22,3871448,4006555,0
203,tt2822672,38,20830546,20830546,1
204,tt4540710,34,5911870,6041101,0
205,tt4950110,6,2082980,2160030,0
206,tt1711525,65,91342494,93234265,4
207,tt5442430,72,101003310,101003310,5
208,tt3576728,8,636684,636684,0
209,tt1540011,32,37493221,38261849,1
210,tt6003368,24,35355942,35355942,1
211,tt5719700,37,37337061,37337061,1
212,tt1619029,22,25969736,26209076,1
213,tt2261287,57,96923070,96923070,4
214,tt6322922,16,4062957,4062957,0
215,tt5462602,35,53005448,53005448,2
216,tt2582230,1,3547,3547,0
217,tt5322012,23,23477345,23477345,1
218,tt4849438,28,263585794,263585794,9
219,tt4383288,9,212723,212723,0
220,tt0478970,114,519338048,530881242,9
221,tt1655441,36,69057415,71788140,3
222,tt3508840,31,6832542,6873055,0
223,tt1431045,100,801029249,814460763,9
224,tt1608290,45,55348693,56415928,2
225,tt1674771,45,46225326,48298425,2
226,tt1124037,45,23151917,23921763,1
227,tt3719896,8,2246000,2389868,0
228,tt1594972,42,27392195,28023407,1
229,tt0803096,95,433125655,434872729,9
230,tt1374989,55,16311335,16714837,0
231,tt1951266,130,650523427,668365771,9
232,tt2267968,55,518614383,523924104,9
233,tt2452042,117,250474038,258760287,9
234,tt2488496,223,58154,58154,0
235,tt2510894,65,470751398,481588603,9
236,tt0120667,45,167977596,171572315,8
237,tt2726560,31,63802928,66201614,3
238,tt2277860,116,1022617376,1040607501,9
239,tt2709768,69,875952759,889580843,9
240,tt1985949,88,352829528,356806749,9
241,tt1628841,85,387644286,391460020,9
243,tt1002563,10,7313697,7553040,0
244,tt1340138,84,440160956,445910766,9
245,tt2379713,108,879620923,892356643,9
246,tt3095734,24,61681268,61681268,3
247,tt2975590,116,868160194,880381612,9
248,tt2554274,75,75466595,77458146,3
249,tt2361317,42,21778555,21782066,1
250,tt2381991,80,165149302,166925132,8
251,tt2381249,74,700868363,713362176,9
252,tt3195644,36,120678444,124023403,6
253,tt3319920,39,14883495,14885523,0
254,tt3040964,102,963901123,977367054,9
255,tt3385516,98,542742489,548492954,9
256,tt2918436,28,35341814,36994579,1
257,tt3332064,76,151550856,153797667,7
258,tt2404233,75,133553464,134705957,6
259,tt3410834,99,171484051,173932475,8
260,tt3498820,189,1153304495,1168401254,9
261,tt2719848,58,221835496,224620836,9
262,tt0097757,80,222299758,348813495,9
263,tt0918940,75,349143061,353828120,9
264,tt1527788,39,105445109,108356176,5
265,tt2199571,46,66961644,68656695,3
266,tt2381941,58,159062963,162513259,7
267,tt2561572,30,106511453,112302927,5
268,tt3381008,48,28721408,28975329,1
269,tt2361509,51,197232734,202080851,9
270,tt3065204,50,311270008,315060809,9
271,tt1292566,43,99595932,101328871,4
272,tt1051904,58,158905324,164008976,7
273,tt2446042,76,327656424,333373920,9
274,tt3659388,95,663851905,678401091,9
275,tt2555736,31,90384306,92503199,4
276,tt3450650,36,107650646,112204560,5
277,tt2268016,29,123709460,127938051,6
278,tt3530002,26,52427346,55179991,2
279,tt3045616,40,30396134,30889117,1
280,tt1850457,36,106030660,110580219,5
281,tt3300542,72,193857962,196170997,9
282,tt0061722,46,104433943,779869320,5
283,tt0052618,37,91853336,92830368,4
284,tt3623726,27,41166033,42885293,2
285,tt3488710,67,61197045,61847941,3
286,tt2967224,26,45680201,47895299,2
287,tt2649554,35,7680250,7817587,0
288,tt0102685,48,128131571,129618113,6
289,tt3369806,17,43658157,46390577,2
290,tt2515034,40,13644292,14327436,0
291,tt1727776,29,15554855,15792052,0
292,tt3567288,33,98689296,102866204,4
293,tt3387542,37,40579218,41563052,2
294,tt2446980,49,101134059,103988574,5
295,tt1524575,21,14999638,15113959,0
296,tt3682448,58,162610473,167196565,8
297,tt1398426,27,202182981,212508818,9
298,tt1355683,71,98837872,102846271,4
299,tt1663202,72,532950503,539767659,9
300,tt2752772,18,54104225,55881217,2
301,tt3460252,118,145443360,148231445,7
302,tt1666801,27,43528634,45708513,2
303,tt2674426,47,205445075,207525819,9
304,tt2304933,72,111336398,112627969,5
305,tt3622592,32,85512300,87562143,4
306,tt3231054,29,46255763,47620105,2
307,tt1618442,74,131234406,132987492,6
308,tt1895587,48,92217729,94618169,4
309,tt3838992,12,2199,2199,0
310,tt1860357,67,122931214,125203892,6
311,tt3799694,66,57261763,58603236,2
312,tt0396555,41,170552719,200269040,8
313,tt2938956,43,69698495,70725298,3
314,tt1524930,40,100655892,104427827,5
315,tt1712261,51,25943792,26411369,1
316,tt2248739,6,27561,27561,0
317,tt3850590,31,61788393,64491160,3
318,tt0477051,29,158973607,188037242,7
319,tt3949660,74,245623848,248659281,9
320,tt1741273,36,30808558,32099578,1
321,tt2980210,28,11848058,12003891,0
322,tt1860213,62,105241410,106558143,5
323,tt2513074,28,25863458,25927772,1
324,tt4034228,31,3727746,3762236,0
325,tt4046784,99,310697192,315928656,9
326,tt1641841,20,1242,1319,0
327,tt2494362,35,481525,481525,0
328,tt3499096,27,22178125,22885271,1
329,tt0048280,75,2202291,2219541,0
330,tt0491203,29,3882453,3882454,0
331,tt2140479,53,153060045,156236246,7
332,tt3276924,39,3324184,3327393,0
333,tt3152624,44,141123897,148183784,7
334,tt3614530,16,2368937,2508881,0
335,tt3247714,34,774905,774905,0
336,tt4062536,24,3807503,3926636,0
337,tt0475290,78,64171419,65284208,3
338,tt4172430,67,69411370,71366627,3
339,tt3741834,64,147539495,147735699,7
340,tt2080374,37,35579007,36717081,1
341,tt2126235,30,5278519,5278519,0
342,tt2582500,35,11361962,11617131,0
343,tt3774114,43,34301950,35100555,1
344,tt2948356,138,1019920974,1032545921,9
345,tt3170832,39,36262783,36940457,1
346,tt3760922,28,91651878,93860045,4
347,tt3787590,40,10166209,10396263,0
348,tt3859304,20,615816,638592,0
349,tt3172532,11,2279959,2374564,0
350,tt3850214,25,18190831,18190831,0
351,tt2582496,29,9266180,9699103,0
352,tt2005151,37,83034523,84626548,4
353,tt3014866,40,38771262,39315396,1
354,tt3813310,19,143658,152276,0
355,tt2309260,20,41753881,43212095,2
356,tt2872750,53,101937062,103178221,5
357,tt4082068,22,7714549,7723749,0
358,tt1389139,13,30629507,31729994,1
359,tt5770620,10,2216374,2216374,0
360,tt2702724,28,78652395,80985896,3
361,tt1596363,55,133162752,136656527,6
362,tt1837636,24,1480089,1480089,0
363,tt4056738,10,14305450,15137265,0
364,tt4263482,35,40454520,41384501,2
365,tt3453052,3,14616,15545,0
366,tt0328880,52,250397798,291916615,9
367,tt2279339,35,42167286,43849206,2
368,tt3322364,42,50363790,52112702,2
369,tt0452681,20,107500122,138657530,5
370,tt1798684,50,94207861,97565844,4
371,tt3862750,12,60274336,63927336,3
372,tt3687310,11,386744,386744,0
373,tt3262990,4,478595,509245,0
374,tt4158096,47,3793739,3793739,0
375,tt3397884,74,84448946,87450757,4
376,tt3139764,1,510957,529858,0
377,tt2400463,14,354836,363404,0
378,tt3076658,55,173567581,180317977,8
379,tt3742378,23,3048209,3072353,0
380,tt2401878,27,5531455,5676227,0
382,tt3110770,4,113169,120413,0
384,tt2936180,14,1080428,1080761,0
386,tt3882082,43,68220952,69546067,3
387,tt3658772,24,2352511,2352511,0
388,tt1083452,31,45121177,45705285,2
389,tt2057392,37,34916128,35608090,1
390,tt4411618,11,214182,214182,0
391,tt2888046,25,156835197,156934316,7
392,tt2402927,44,43244956,43850031,2
393,tt2006295,30,28400715,29179152,1
394,tt3316948,46,30295076,31220055,1
395,tt1105355,2,35312,35312,0
396,tt0120888,23,123345725,196576359,6
397,tt1620935,20,6248077,6436145,0
398,tt1703957,30,5653176,5703525,0
399,tt1658801,35,1732228,1767211,0
400,tt3628584,12,54404202,56403005,2
401,tt1179933,54,108286422,110953070,5
402,tt4667094,34,20765353,21197699,1
403,tt2369317,13,126513186,163789760,6
404,tt4257926,26,73798720,76081451,3
405,tt1781827,27,5032013,5206355,0
406,tt1528854,47,242757137,250860387,9
407,tt3464902,40,18053914,18394118,0
408,tt3569230,51,42642077,42761481,2
409,tt3808342,33,9696537,9766552,0
410,tt4682786,44,85315070,86215601,4
411,tt4337690,12,4816142,5124642,0
412,tt0765010,29,17856688,17898754,0
413,tt2631186,31,26736665,27168278,1
414,tt3157318,1,8799,9356,0
415,tt3781476,67,386152042,386153245,9
416,tt4462082,1,8374,8907,0
417,tt2910904,30,24041617,24116419,1
418,tt2937696,27,5437126,5562910,0
419,tt2311428,1,3256,3462,0
420,tt1754656,48,103529508,103578012,5
421,tt3566698,9,12444,12444,0
422,tt4501454,19,5526942,5684803,0
423,tt2265431,1,2105,2234,0
424,tt5001130,2,29233,30310,0
425,tt4824308,12,23565072,24333548,1
426,tt2460506,1,3330,3330,0
427,tt3401748,11,10237229,10237229,0
428,tt1817771,16,70958,70958,0
429,tt3277624,6,63014,65337,0
431,tt4975722,32,65339156,65805637,3
432,tt3182620,11,606162,606162,0
433,tt4707756,2,29827,29827,0
434,tt4333662,1,7943,7943,0
435,tt1220911,10,2010000,2010000,0
436,tt3606888,17,8370555,8373614,0
437,tt4057916,9,4582848,4582848,0
438,tt4733536,10,26,26,0
439,tt4191580,7,9097072,9433605,0
440,tt3856124,1,3454036,3454036,0
441,tt2950418,3,2000093,2074079,0
442,tt4871980,5,9669521,10027231,0
443,tt4591310,22,194058503,194084761,9
444,tt4698684,25,23238220,23430787,1
445,tt1412528,15,4620399,4620399,0
446,tt0104412,17,45422548,45427987,2
447,tt4238858,5,169242,175391,0
448,tt0486583,27,97837638,119678598,4
449,tt0369610,120,1671713208,1713495669,9
450,tt1137470,16,135436,135436,0
451,tt1126590,36,27317872,28581582,1
452,tt1029360,39,95825125,98863031,4
453,tt1086772,39,127990741,132523491,6
454,tt1392190,139,370742166,380134620,9
455,tt0829150,52,220241723,225724401,9
456,tt2170593,29,54837234,59136822,2
457,tt1020072,26,66776908,70112794,3
458,tt1390411,70,90420758,91970539,4
459,tt1355630,29,78356170,83298624,3
460,tt1946381,17,91116,91116,0
461,tt0816692,138,667752422,685986358,9
462,tt1204977,26,103683342,108663115,5
463,tt0787474,47,111946251,116916788,5
464,tt1121096,58,111125785,112261246,5
465,tt2015381,158,4364740,4364740,0
466,tt1979388,102,334342692,342002104,9
467,tt2279373,52,311594032,322034923,9
468,tt1843866,133,714401889,739836105,9
469,tt1959490,68,352831065,362740491,9
470,tt2103281,88,710644566,731065179,9
471,tt1877832,132,747862775,770768182,9
472,tt1951265,142,766652288,799210567,9
473,tt2369135,55,194169619,198435808,9
474,tt2310332,155,955119788,978932053,9
475,tt2395427,152,1408218722,1437621227,9
476,tt2224026,78,386069390,397432927,9
477,tt1840309,67,276014965,290795660,9
478,tt2293640,102,1167245366,1188771433,9
479,tt1911658,75,367650911,375496869,9
480,tt0831387,78,529076069,548726109,9
481,tt2262227,34,97651543,102534260,4
482,tt1826590,11,50445860,55208416,2
483,tt1964418,85,207283457,213268695,9
484,tt1790864,99,680840,680840,0
485,tt0120787,18,67658331,129401965,3
486,tt0113277,62,187436818,258049314,9
487,tt2692250,74,356546621,366181381,9
488,tt2357291,66,492846291,505726426,9
489,tt1291150,91,485004754,503727368,9
490,tt2209764,72,103039258,105293584,5
491,tt1617661,74,181982519,185024099,9
492,tt1823664,34,139840525,147272258,6
493,tt2802144,83,9000000,9000000,0
494,tt2239832,15,70027933,76395486,3
495,tt2820852,99,1518722794,1541335340,9
496,tt2713180,94,210315681,218699477,9
497,tt2294449,49,331333876,350106882,9
498,tt1956620,45,126069509,129843653,6
499,tt2247476,11,30138912,33089017,1
500,tt2103254,27,96407655,104684318,4
501,tt2377322,44,87956618,90950699,4
502,tt2203939,47,195111193,203327704,9
503,tt2828996,21,21206861,22903749,1
504,tt0120783,38,83977418,144489236,4
505,tt2557490,64,86778557,90961758,4
506,tt2245084,119,652127828,673534225,9
507,tt1528100,74,268314513,274366188,9
508,tt2318092,20,34718173,37013220,1
509,tt1976009,31,102384,106169,0
510,tt2980706,52,156399644,162192319,7
511,tt2980648,31,94270488,99581172,4
512,tt2333784,114,209461378,213311803,9
513,tt2180411,83,203502372,214778921,9
514,tt2978462,16,57824533,61939536,2
515,tt2096673,125,586727,586727,0
516,tt1661199,74,534551353,547436489,9
517,tt1809398,40,163527824,173043710,8
518,tt1216491,35,6656705,6896689,0
519,tt1872194,45,76119388,80731371,3
520,tt2788710,38,12342632,12854007,0
521,tt2637276,51,217214143,222433274,9
522,tt1823672,78,105002056,107024290,5
523,tt2473602,20,33339868,36333251,1
524,tt1109624,50,259541430,264424072,9
525,tt2205401,9,17499242,19202131,0
526,tt0435651,41,55090374,59505582,2
527,tt2097298,19,45707924,48557190,2
528,tt2106361,35,150429371,155090532,7
529,tt2170439,42,105945357,111229804,5
530,tt0092890,43,271078,371223,0
531,tt2582846,38,307166834,319394233,9
532,tt1742334,50,18376443,19405426,0
533,tt2267998,57,368567189,384941668,9
534,tt1972779,22,41059418,43679445,2
535,tt1742044,24,65282732,69889536,3
536,tt2358925,40,12819501,13474134,0
537,tt3079380,54,233125712,240224867,9
538,tt2975578,45,111534881,118542229,5
539,tt2140037,34,3771345,3827338,0
540,tt2096672,54,156553592,164949490,7
541,tt2717822,47,19665004,20177842,0
542,tt3181822,38,53401938,55708376,2
543,tt2771372,18,3485383,3810682,0
544,tt2223990,20,29847480,32671684,1
545,tt2126355,54,467151160,477092206,9
546,tt2872732,58,457507776,469901792,9
547,tt2908446,104,295279072,303617942,9
548,tt1924435,36,136890774,144958414,6
549,tt1600196,34,19054534,20104651,0
550,tt2955096,12,30312,33279,0
551,tt1065073,33,57273049,59721647,2
552,tt1972571,33,36068890,37756802,1
553,tt3099498,17,1857688,2036087,0
554,tt3014666,17,10537341,11558601,0
555,tt2870612,31,41824066,43902133,2
556,tt2848292,38,287641616,299447069,9
557,tt0884732,28,80171596,84300723,4
558,tt2345737,31,3180252,3288856,0
559,tt1430612,50,73421224,75418457,3
560,tt2910814,24,2665322,2724161,0
561,tt2910274,20,3324070,3629833,0
562,tt2870708,38,6591365,6943018,0
563,tt1791528,57,14772346,15341443,0
564,tt1243974,22,24935799,26284326,1
565,tt2402157,41,34820335,37270087,1
566,tt1241226,1,3496,3496,0
567,tt1810683,10,17684355,18099822,0
568,tt2398249,14,82780,82780,0
569,tt2231253,39,929157,929357,0
570,tt2465146,33,17762041,19246573,0
571,tt0119432,11,59925026,117108382,2
572,tt0343737,39,99908565,120410919,4
573,tt2467046,35,20769209,22142020,1
574,tt2884206,25,852399,885339,0
575,tt1971325,64,6775458,6775458,0
576,tt2562232,73,103215094,106749238,5
577,tt2980516,43,123327692,126465765,6
578,tt2140619,15,868081,869605,0
579,tt2582802,42,33474334,34512805,1
580,tt2182972,17,437089,439148,0
581,tt2403393,27,324218,334156,0
582,tt2084970,67,227773686,234642725,9
583,tt2473794,20,25187026,25473192,1
584,tt2305051,36,52462981,55558007,2
585,tt2752688,11,3168858,3475239,0
586,tt2883434,11,21571189,22952965,1
587,tt3235888,49,23250755,24190730,1
588,tt1781922,41,42844516,44592557,2
589,tt2179136,64,547326372,569829874,9
590,tt2679042,47,81967450,83406647,4
591,tt3072636,1,20056,22012,0
592,tt2398231,25,8217571,8450183,0
593,tt2113659,7,109144,114853,0
594,tt0470752,56,38976797,40606461,1
595,tt2872718,54,50334418,53491676,2
596,tt0120873,32,57833603,110611384,2
597,tt3125324,7,14618727,16048344,0
598,tt2366608,30,45431,48339,0
599,tt0112403,2,13486,14801,0
600,tt0124315,20,88547209,127196343,4
601,tt2295722,6,11774,12926,0
602,tt3322940,37,256862920,265114944,9
603,tt1798243,14,567219,572698,0
604,tt2800038,7,851690,935087,0
605,tt3612616,30,17561100,17785215,0
606,tt2893490,13,797439,805908,0
607,tt2503944,44,32632668,33505673,1
608,tt2630916,2,72277,79349,0
609,tt2246526,2,1822,2000,0
610,tt3504048,9,236863,236863,0
611,tt1014763,65,3434330,3512749,0
612,tt2994190,11,9837,10800,0
613,tt2911666,61,76235001,80445412,3
614,tt2556874,13,552641,552641,0
615,tt1881002,30,597989,609966,0
616,tt2515030,19,363720,363720,0
617,tt1791682,37,13423176,13908855,0
618,tt2784678,9,25514848,27940495,1
619,tt4003774,1,6049171,6640675,0
620,tt0085244,14,56077501,157491241,2
621,tt3179568,16,1705908,1775026,0
622,tt2547584,36,19450780,19914907,0
623,tt3214286,3,101531,108035,0
624,tt2474024,8,147299,156733,0
625,tt1018765,22,8592432,9040967,0
626,tt3148834,33,10392666,10393060,0
627,tt3569356,1,35688,39181,0
628,tt0151738,24,55474757,97954436,2
629,tt0492044,25,78758522,89614869,3
630,tt0821640,27,102512802,113341806,5
631,tt2494384,11,53086,56484,0
632,tt0443465,15,483938,486309,0
633,tt2937898,28,6071433,6449383,0
634,tt2039393,31,38718031,41810334,1
635,tt3230082,10,1945420,1970826,0
636,tt2321549,26,7482387,7568410,0
637,tt3268668,18,2791973,2957448,0
638,tt1772288,31,7501132,7862224,0
639,tt2667960,13,863895,863895,0
640,tt3316960,34,41699612,42894683,2
641,tt1921149,23,6553186,6554306,0
642,tt1015471,4,6870,7302,0
643,tt3713166,25,62869004,64969412,3
645,tt3844362,19,1165996,1237080,0
646,tt2404425,38,56758138,58891730,2
647,tt0163862,1,103043249,138582778,5
648,tt3007512,51,30864649,31133691,1
649,tt2381111,38,62076141,64023316,3
650,tt2147225,3,32572,32572,0
651,tt2704752,2,288751,307240,0
652,tt3832914,15,73975239,77081132,3
653,tt2325977,12,161097,162211,0
654,tt2199543,10,760678,761999,0
655,tt0141098,16,93957800,134510124,4
656,tt0408236,42,153329844,168185007,7
657,tt3145220,7,15156,16119,0
658,tt2421956,2,17503,18389,0
659,tt1878841,18,10898293,11296106,0
660,tt0292506,24,101174440,126910254,5
661,tt3077214,35,34044909,34345210,1
662,tt2952602,15,129115,137385,0
663,tt3547740,31,82438670,82438670,4
665,tt2814362,8,168832,168883,0
666,tt4219836,3,5858,6225,0
667,tt2017486,5,5396,5396,0
668,tt3858372,38,14534046,14534046,0
669,tt1234721,58,242981799,248720549,9
670,tt1723121,44,267816276,283355146,9
671,tt1170358,129,960366855,986903265,9
672,tt1210819,91,260002115,269228893,9
673,tt0481499,83,573068425,592406856,9
674,tt1335975,57,151716815,155649801,7
675,tt0790636,54,60611845,63372918,3
676,tt0884726,20,20107933,20936551,1
677,tt1587310,75,758536735,782175146,9
678,tt1646971,97,614586270,631918252,9
679,tt1091191,48,149804632,162055653,7
680,tt1650554,58,63129909,66105135,3
681,tt0864835,49,269806430,280725045,9
682,tt1621039,47,110387072,116142644,5
683,tt1213663,50,47508505,50195347,2
684,tt1441395,43,7229933,7485912,0
685,tt1860353,62,286896578,295475129,9
686,tt1690953,100,975216835,1013245129,9
687,tt1981115,162,644602516,665908323,9
688,tt1663662,121,411002906,421521282,9
689,tt2294629,105,1274234980,1315077594,9
690,tt0848537,73,262794441,273903381,9
691,tt1872181,139,708996336,728859627,9
692,tt1951264,140,864868047,908650491,9
693,tt0107688,44,30923,32727,0
694,tt2017020,52,348547523,355885147,9
695,tt1854564,60,200859554,207942969,9
696,tt1821694,60,137162560,142665699,6
697,tt1670345,71,342769200,354932560,9
698,tt2120120,69,244144701,249190206,9
699,tt1535109,55,220648184,231705187,9
700,tt1951261,73,362000072,373592692,9
701,tt2109248,110,1104039076,1128072273,9
702,tt0313542,27,67338219,91425730,3
703,tt2024432,41,175361578,189258967,8
704,tt1985966,61,274392649,286758057,9
705,tt2956300,5,10137234,10160178,0
706,tt1253863,108,330780051,341216278,9
707,tt1532958,21,16723377,17641726,0
708,tt1711425,29,42195766,44849293,2
709,tt1538403,68,75965567,79185609,3
710,tt1939659,67,82409520,86053299,4
